product_title,product_price,product_link,product_image
"Samsung Galaxy S24 Ultra (12GB RAM, 256GB Storage)","Rs. 350,000",https://www.daraz.pk/products/s24-12gb-256gb-i601341761.html,https://img.drz.lazcdn.com/g/kf/Sf318c30c59d54a9396e5fceb40a888bdl.jpg_400x400q75.jpg_.webp
Samsung Galaxy S24 Ultra 12GB RAM-512GB ROM 5000mAh PTA Approved Official Brand Warranty,"Rs. 469,999",https://www.daraz.pk/products/samsung-galaxy-ultra-12gb-ram-512gb-rom-5000mah-pta-approved-official-brand-warranty-i480041595.html,https://img.drz.lazcdn.com/static/pk/p/c196674129bc19ad076da1cdab712f00.jpg_400x400q75.jpg_.webp
"Samsung Galaxy S24 Ultra || 12GB Ram 512GB Rom || 6.8"" Dynamic AMOLED 120Hz || 5000 mAh Battery Fast 45W Wireless charging 15W","Rs. 488,999",https://www.daraz.pk/products/s24-12gb-1-000-gb-512-20-000-mah-45-15-i472575311.html,https://img.drz.lazcdn.com/static/pk/p/95400d2712473f21791d57e9e02e6d98.jpg_400x400q75.jpg_.webp
"Samsung Galaxy S24 Ultra - 6.8"" Inch Display - 12GB RAM - 512GB ROM","Rs. 464,999",https://www.daraz.pk/products/samsung-galaxy-ultra-68-inch-display-12gb-ram-512gb-rom-i479459175.html,https://img.drz.lazcdn.com/static/pk/p/c1e2d9567cf9c13144c82f4ae37e066e.jpg_400x400q75.jpg_.webp
Samsung Galaxy S24 5G 8GB RAM - 256GB ROM  Dual-SIM 4000 mAh Battery PTA Approved Official Brand Warranty,"Rs. 274,999",https://www.daraz.pk/products/samsung-galaxy-5g-8gb-ram-256gb-rom-dual-sim-4000-mah-battery-pta-approved-official-brand-warranty-i479929493.html,https://img.drz.lazcdn.com/static/pk/p/76bf410f80bf27890f3b3930e3b43482.jpg_400x400q75.jpg_.webp
Samsung S24 Ultra - Dynamic AMOLED 2X LCD - 6.8 Inches Display - 12GB RAM 512GB ROM - 200MP+50MP+12MP+10MP Rear Camera - 12MP Front Camera - Octa-Core Processor - Dual SIM - 5000mAh Battery,"Rs. 474,999",https://www.daraz.pk/products/s24-2x-lcd-68-12gb-512gb-200mp-50mp-12mp-10mp-12mp-5000mah-i591337561.html,https://img.drz.lazcdn.com/static/pk/p/035399b7ff36e34116528e22eaf18b13.png_400x400q75.png_.webp
"Samsung Galaxy S24 FE - 6.7"" Inch Display - 8GB RAM - 256GB ROM","Rs. 235,499",https://www.daraz.pk/products/samsung-galaxy-fe-67-inch-display-8gb-ram-256gb-rom-i601938818.html,https://img.drz.lazcdn.com/static/pk/p/4cb172e7a2b3a54f7cde4effad2e2656.jpg_400x400q75.jpg_.webp
Samsung S24 - Dynamic AMOLED 2X LCD - 6.2 Inches Display - 8GB RAM 256GB ROM - 50MP+10MP+12MP Rear Camera - 12MP Front Camera - Dual SIM - Deca-Core Processor - 4000mAh Battery,"Rs. 294,999",https://www.daraz.pk/products/s24-2x-lcd-62-8gb-256gb-50mp-10mp-12mp-12mp-4000mah-i587879264.html,https://img.drz.lazcdn.com/static/pk/p/099f92d86dd4c4cbd278c01e073e51b8.png_400x400q75.png_.webp
"Samsung Galaxy S24 - 6.6"" Inch Display - 8GB RAM - 256GB ROM","Rs. 286,499",https://www.daraz.pk/products/samsung-galaxy-66-inch-display-8gb-ram-256gb-rom-i479452375.html,https://img.drz.lazcdn.com/static/pk/p/a79e643f2e9bbbdac785d0f9454d1afe.jpg_400x400q75.jpg_.webp
"Samsung Galaxy A35 5G 8GB RAM, 256GB ROM, 6.6"" 120Hz Super AMOLED Display, Exynos 1380, 50MP Triple Camera, 5000mAh Battery","Rs. 123,493",https://www.daraz.pk/products/8gb-5g-a35-256gb-66-hz-exynos-120-50mp-1380-mah-i495224276.html,https://img.drz.lazcdn.com/static/pk/p/d548ecfcf1a015a5ee3cdc4f8b8849d8.jpg_400x400q75.jpg_.webp
"Samsung Galaxy S22 Ultra 5G - 6.8"" Inch Display - 12GB RAM - 256GB ROM","Rs. 334,999",https://www.daraz.pk/products/samsung-galaxy-ultra-5g-68-inch-display-12gb-ram-256gb-rom-i272350082.html,https://img.drz.lazcdn.com/static/pk/p/6196d4e0ccd31140adf01beb4ef1dd79.jpg_400x400q75.jpg_.webp
